epoch,train_loss,val_loss,lr,elapsed_sec
1,6.7053,6.0566,0.000300,134.1
2,5.7499,5.6748,0.000300,134.2
3,5.3779,5.4625,0.000300,134.1
4,5.1201,5.3111,0.000300,134.5
5,4.9009,5.1961,0.000300,134.2
6,4.7078,5.0963,0.000300,134.4
7,4.5368,5.0176,0.000300,134.1
8,4.3784,4.9829,0.000300,133.6
9,4.2321,4.9092,0.000300,133.9
10,4.0910,4.8677,0.000300,134.2
11,3.9577,4.8345,0.000300,134.6
12,3.8305,4.8073,0.000300,134.1
13,3.7119,4.7859,0.000300,134.0
14,3.6034,4.7772,0.000300,134.2
15,3.4966,4.7486,0.000300,134.2
16,3.3998,4.7358,0.000300,134.2
17,3.3075,4.7352,0.000300,134.8
18,3.2232,4.7381,0.000300,134.8
19,3.1418,4.7221,0.000300,133.6
20,3.0683,4.7250,0.000300,134.3
21,2.9976,4.7201,0.000300,134.4
22,2.9305,4.7236,0.000300,134.1
23,2.8659,4.7226,0.000300,133.9
24,2.8081,4.7343,0.000150,133.1
25,2.7188,4.7281,0.000150,134.0
26,2.6737,4.7343,0.000150,134.1
